id,propertyType,forSale,price,location,preciseLocation,squareFootage,propertySquareFootage,yearOfBuilding,floor,totalFloors,inRegistry,heating,numberOfRooms,numberOfToilets,parking,hasElevator,hasTerrace
46700,1,1,1974500,Beograd,"Savski Venac",489,NULL,2020,3,3,1,NULL,5,4,1,1,1
46493,1,1,1824260,Beograd,"Savski Venac",350,NULL,2020,0,2,1,"centralno grejanje",4,NULL,NULL,1,1
46518,1,1,1510280,Beograd,"Savski Venac",290,NULL,2020,2,2,1,"centralno grejanje",4,NULL,NULL,1,1
46468,1,1,1418400,Beograd,"Savski Venac",272,NULL,2020,1,2,1,"centralno grejanje",4,NULL,NULL,1,1
46508,1,1,1361040,Beograd,"Savski Venac",261,NULL,2020,0,2,1,"centralno grejanje",4,NULL,NULL,1,1
11350,0,1,1280000,"Novi Sad","Gradske lokacije",272,NULL,2020,NULL,NULL,NULL,"grejanje na gas",NULL,NULL,NULL,NULL,NULL
46392,1,1,960888,Beograd,"Savski Venac",172,NULL,2020,17,17,0,"centralno grejanje",5,NULL,1,1,1
46388,1,1,955888,Beograd,"Savski Venac",203,NULL,2020,17,17,0,"centralno grejanje",5,NULL,1,1,1
36491,1,1,850000,Beograd,"Savski Venac",260,NULL,2020,0,3,1,"grejanje na gas",4,1,1,1,1
46616,1,1,816400,Beograd,"Savski Venac",152,NULL,2020,2,3,1,NULL,4,3,NULL,1,1
44339,1,1,684500,Beograd,Vracar,185,NULL,2020,4,6,NULL,NULL,4,3,1,NULL,1
22490,1,1,656888,Beograd,"Savski Venac",136,NULL,2020,4,17,0,"centralno grejanje",4,NULL,1,1,1
46194,1,1,656850,Beograd,"Savski Venac",227,NULL,2020,2,2,NULL,NULL,4,NULL,1,1,1
49524,1,1,600440,Beograd,Vracar,177,NULL,2020,3,8,NULL,"centralno grejanje",5,NULL,1,1,1
51360,1,1,553888,Beograd,"Savski Venac",74,NULL,2020,30,NULL,NULL,"centralno grejanje",2,3,NULL,1,1
44214,1,1,539000,Beograd,Vracar,154,NULL,2020,4,4,1,NULL,3,2,1,NULL,1
46018,1,1,520000,Beograd,"Savski Venac",138,NULL,2020,2,3,1,"podno grejanje",4,NULL,1,1,1
33617,1,1,504000,Beograd,Vracar,126,NULL,2020,1,5,1,NULL,4,2,NULL,1,NULL
44392,1,1,504000,Beograd,Vracar,132,NULL,2020,2,4,1,NULL,4,2,NULL,NULL,NULL
22938,1,1,500000,Beograd,Vracar,125,NULL,2020,2,5,1,NULL,4,3,1,1,1
44412,1,1,500000,Beograd,Vracar,125,NULL,2020,2,5,1,NULL,4,2,NULL,1,1
47929,1,1,500000,Subotica,"Gradske lokacije",282,NULL,2020,6,6,1,"grejanje na gas",5,3,1,1,1
10302,1,1,499000,Beograd,"Stari Grad opstina",160,NULL,2020,3,8,1,"centralno grejanje",4,3,1,1,NULL
2876,1,1,483900,"Novi Sad","Gradske lokacije",204,NULL,2020,2,2,NULL,NULL,4,NULL,NULL,1,1
44398,1,1,480000,Beograd,Vracar,133,NULL,2020,1,4,1,NULL,4,2,NULL,NULL,NULL
51678,1,1,479888,Beograd,"Savski Venac",140,NULL,2020,12,14,0,"centralno grejanje",4,NULL,1,1,1
59475,1,1,473220,Beograd,"Zemun opstina",239,NULL,2020,2,2,NULL,"etazno grejanje",5,NULL,NULL,1,1
59171,1,1,471240,Beograd,"Zemun opstina",238,NULL,2020,2,2,NULL,NULL,5,NULL,1,1,1
21620,1,1,467500,Beograd,"Stari Grad opstina",169,NULL,2020,6,6,NULL,"etazno grejanje",4,NULL,1,1,1
44602,1,1,465640,Beograd,Vracar,133,NULL,2020,2,3,1,NULL,4,2,NULL,NULL,NULL
24640,0,1,465000,"Novi Sad","Gradske lokacije",350,NULL,2020,NULL,NULL,NULL,"grejanje na gas",NULL,NULL,NULL,NULL,NULL
10305,1,1,464000,Beograd,"Palilula opstina",160,NULL,2020,4,6,0,NULL,5,NULL,NULL,NULL,NULL
47198,1,1,461218,Beograd,Vracar,149,NULL,2020,3,5,NULL,"centralno grejanje",5,NULL,1,1,1
44492,1,1,460000,Beograd,Vracar,170,NULL,2020,4,4,1,"centralno grejanje",4,NULL,1,1,1
46041,1,1,451000,Beograd,"Savski Venac",209,NULL,2020,4,4,1,NULL,4,NULL,1,1,1
23025,1,1,450000,Beograd,"Palilula opstina",180,NULL,2020,6,6,1,"centralno grejanje",5,4,1,1,1
19507,1,1,449000,Beograd,Vracar,130,NULL,2020,2,4,1,NULL,4,3,1,1,1
36601,1,1,437400,Beograd,"Palilula opstina",162,NULL,2020,4,5,0,NULL,4,NULL,NULL,NULL,1
34154,1,1,422940,Beograd,Vracar,121,NULL,2020,6,8,NULL,"centralno grejanje",4,NULL,1,1,1
53510,1,1,420888,Beograd,"Savski Venac",144,NULL,2020,13,21,NULL,"centralno grejanje",3,NULL,1,1,1
21520,1,1,420000,Beograd,"Stari Grad opstina",120,NULL,2020,5,9,NULL,"centralno grejanje",4,3,1,1,1
23531,1,1,419900,Beograd,"Stari Grad opstina",120,NULL,2020,5,9,1,"centralno grejanje",4,NULL,1,1,NULL
58550,1,1,416000,Beograd,"Stari Grad opstina",160,NULL,2020,5,6,1,"centralno grejanje",5,2,NULL,1,1
44455,1,1,403000,Beograd,Vracar,130,NULL,2020,3,5,NULL,"centralno grejanje",4,NULL,1,1,1
33540,1,1,401700,"Novi Sad","Gradske lokacije",190,NULL,2020,1,2,NULL,"grejanje na gas",4,NULL,NULL,NULL,1
45868,1,1,399958,Beograd,"Palilula opstina",153,NULL,2020,6,6,NULL,NULL,5,4,NULL,NULL,1
34193,1,1,399000,Beograd,Vracar,114,NULL,2020,4,8,NULL,"centralno grejanje",4,NULL,1,1,1
49417,1,1,398000,Beograd,"Vozdovac opstina",175,NULL,2020,5,5,1,"etazno grejanje",4.5,NULL,1,1,1
29486,1,1,390000,Beograd,"Vozdovac opstina",150,NULL,2020,3,3,1,"podno grejanje",5,2,1,1,1
46374,1,1,387888,Beograd,"Savski Venac",119,NULL,2020,23,23,0,"centralno grejanje",4,NULL,1,1,1
2872,1,1,384000,"Novi Sad","Gradske lokacije",136,NULL,2020,13,14,1,NULL,4,NULL,1,1,1
36110,1,1,382888,Beograd,"Savski Venac",123,NULL,2020,15,23,NULL,"centralno grejanje",3,1,NULL,1,1
56518,1,1,380011,Beograd,"Savski Venac",183,NULL,2020,4,4,1,NULL,5,4,1,NULL,1
10177,1,1,380000,Beograd,"Savski Venac",183,NULL,2020,3,4,1,NULL,5,NULL,1,1,1
