"broj nekretnina za prodaju",grad
17038,Beograd
16719,"Novi Sad"
3711,Nis
132,"Stara Pazova"
1663,Subotica
131,Ruma
49,Sokobanja
432,Sombor
2022,Kragujevac
324,Pancevo
687,"Vrnjacka Banja"
1257,Zrenjanin
13,Bogatic
313,Indjija
31,"Backa Topola"
30,Kovacica
95,"Kosovska Mitrovica"
104,Beocin
432,Paracin
230,Kraljevo
204,Sabac
7,Merosina
57,Temerin
54,Valjevo
96,Irig
70,"Sremska Mitrovica"
8,Doljevac
55,Vrbas
31,Pecinci
5,Raska
26,Titel
6,Vlasotince
27,Pozarevac
38,Aleksinac
11,Knjazevac
31,Kikinda
159,Zajecar
21,Becej
17,"Novi Knezevac"
36,Vranje
3,"Gadzin Han"
9,"Nova Crnja"
75,Smederevo
20,"Bajina Basta"
2,Priboj
71,Arandjelovac
80,"Sremski Karlovci"
27,Mionica
28,"Gornji Milanovac"
24,Topola
6,"Petrovac na Mlavi"
15,Secanj
626,Zlatibor
26,Trstenik
625,Jagodina
6,"Fruska Gora"
41,Srbobran
62,Cacak
5,Raca
15,Zitiste
8,Pozega
76,Leskovac
10,"Novi Becej"
47,"Backa Palanka"
41,Ub
212,Krusevac
12,Knic
30,Loznica
17,Batocina
12,"Bela Crkva"
26,Sid
28,"Velika Plana"
8,Kanjiza
3,Lebane
7,Bor
13,Alibunar
7,Koceljeva
8,"Backi Petrovac"
61,"Smederevska Palanka"
25,Apatin
3,Ljubovija
4,Lucani
15,"Nova Varos"
8,"Mali Zvornik"
82,Svilajnac
17,Vladimirci
13,Golubac
48,Kovin
4,Opovo
8,Lapovo
1,Sjenica
3,Osecina
24,Vrsac
5,Majdanpek
3,Boljevac
3,Aleksandrovac
11,Cajetina
2,Dragas
7,Arilje
18,Prokuplje
44,Uzice
2,Dimitrovgrad
6,Cicevac
5,Bac
29,Zabalj
1,"Crna Trava"
3,Zabari
9,Pirot
137,Cuprija
3,"Novi Pazar"
2,Trgoviste
93,Kopaonik
60,Prijepolje
7,Despotovac
7,"Vladicin Han"
3,Orahovac
20,"Veliko Gradiste"
3,Coka
6,Plandiste
3,Varvarin
2,"Mali Idjos"
4,Surdulica
2,Kosjeric
7,Rekovac
9,Odzaci
9,Ljig
9,Tara
6,Bujanovac
2,Medvedja
1,Djakovica
8,Kula
1,Ada
1,Kladovo
4,Kursumlija
3,Blace
3,Ivanjica
2,Svrljig
2,Bojnik
53,Negotin
1,Zlatar
3,Lajkovac
2,Krupanj
